"cd_receita|de_Receita|de_AtualizacaoReceita|dt_MesAno|vl_LancamentoOrc|dt_ano"
"011120431|Imposto Retido nas Fontes s/ Rendimentos do Trabalho|Lançamento de receita|012008|5219031.21|2008"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|012009|12844537.40|2009"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|012010|13834267.09|2010"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|012011|6837675.95|2011"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|012012|19334683.97|2012"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|012013|21870799.58|2013"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|012014|23527068.97|2014"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|012015|24210334.94|2015"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|012016|25419975.00|2016"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|012017|31446104.25|2017"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|012018|27885666.14|2018"
"011120431|Imposto Retido nas Fontes s/ Rendimentos do Trabalho|Lançamento de receita|022008|21225018.88|2008"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|022009|13335415.53|2009"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|022010|13658083.66|2010"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|022011|16765548.94|2011"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|022012|20872766.15|2012"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|022013|23563152.67|2013"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|022014|36660015.59|2014"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|022015|30227169.25|2015"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|022016|34021504.93|2016"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|022017|33069369.39|2017"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|022018|33529645.40|2018"
"011120431|Imposto Retido nas Fontes s/ Rendimentos do Trabalho|Lançamento de receita|032008|11552127.98|2008"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|032009|12839581.78|2009"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|032010|13479473.23|2010"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|032011|29992492.42|2011"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|032012|21576480.18|2012"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|032013|24785695.96|2013"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|032014|27836938.25|2014"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|032015|34639522.58|2015"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|032016|30662545.88|2016"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|032017|33808219.37|2017"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|032018|36199311.46|2018"
"011120431|Imposto Retido nas Fontes s/ Rendimentos do Trabalho|Lançamento de receita|042008|11841908.25|2008"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|042009|13107253.76|2009"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|042010|14054309.21|2010"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|042011|17504117.04|2011"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|042012|22694775.60|2012"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|042013|21196687.75|2013"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|042014|28217577.80|2014"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|042015|28438898.49|2015"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|042016|31276951.96|2016"
"011120431|IRRF S/ OS REND. DO TRABALHO|Lançamento de receita|042017|29239984.58|2017"
